OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
200,53033024000,44369,Tract 024000,4837,3,2,3,8,2.66666667,7817,932,11.92273251,134243,3275,41.89586798,40700.843551388,50221420.5179448
201,53033024100,45334,Tract 024100,4838,2,1,1,4,1.33333333,4838,240,4.96072757,208229,1138,23.52211658,48766.6624188807,47578462.318303
202,53033024200,45285,Tract 024200,4839,2,1,2,5,1.66666667,3212,179,5.57285181,186875,961,29.91905355,36541.205020006,39234263.3789986
203,53033024300,45171,Tract 024300,4840,2,2,2,6,2,8680,513,5.91013825,114821,2693,31.02534562,35427.438111754,44240757.1900227
204,53033025400,42955,Tract 025400,4860,4,5,4,13,4.33333333,7592,1302,17.14963119,51007,4096,53.95152792,21413.5111353581,24784158.5110615
205,53033025500,27874,Tract 025500,4861,4,5,4,13,4.33333333,4957,1186,23.92576155,56591,2818,56.84890054,17925.8273247655,16392476.8958832
206,53033024400,45748,Tract 024400,4841,1,3,2,6,2,2913,120,4.11946447,86172,911,31.2736011,23333.7402392892,17834924.8941338
207,53033024500,45746,Tract 024500,4842,1,1,2,4,1.33333333,4935,207,4.19452888,177311,1402,28.40932118,38024.5108373419,40701972.9742273
208,53033024601,44371,Tract 024601,4843,1,1,1,3,1,4477,110,2.45700246,181250,990,22.11302211,41912.5262358952,42132397.4694332
209,53033024602,45287,Tract 024602,4844,1,1,1,3,1,3763,99,2.63087962,210491,847,22.50863673,27851.5043776296,30603740.4885966
210,53033024701,42602,Tract 024701,4845,3,3,3,9,3,3992,492,12.3246493,89049,1770,44.33867735,30811.1326286239,29349233.4996406
211,53033024702,45798,Tract 024702,4846,3,2,3,8,2.66666667,7528,776,10.30818278,115104,2831,37.60626993,46669.3567743813,68065194.8497204
212,53033024800,45109,Tract 024800,4847,4,4,4,12,4,5964,1340,22.46814219,81711,3597,60.31187123,42408.6165696753,40640482.0337094
